=== DEBUG - PALAVRAS A DELETAR ===
Data: 2026-03-27 22:16:24
Total de palavras: 453
Palavras marcadas para remoção: 133

ÍNDICE  |  PALAVRA                          |  INÍCIO (s)  |  FIM (s)  |  DURAÇÃO
   186  |  uma                              |   123.554   |   123.654  |     99 ms
   187  |  parte,                           |   123.754   |   124.074  |    319 ms
   190  |  só                               |   124.655   |   124.735  |     79 ms
   193  |  do,                              |   125.415   |   125.575  |    159 ms
   198  |  em                               |   127.176   |   127.216  |     39 ms
   200  |  e                                |   127.916   |   127.936  |     20 ms
   201  |  ele                              |   128.877   |   129.077  |    199 ms
   202  |  já                               |   129.157   |   129.297  |    139 ms
   204  |  que                              |   129.737   |   129.897  |    159 ms
   205  |  o                                |   129.917   |   129.937  |     20 ms
   207  |  é                                |   130.498   |   130.518  |     20 ms
   211  |  vir                              |   132.619   |   132.739  |    120 ms
   212  |  aqui,                            |   132.779   |   132.999  |    219 ms
   215  |  você                             |   133.619   |   133.799  |    180 ms
   221  |  se                               |   137.638   |   137.718  |     79 ms
   234  |  os                               |   142.841   |   142.921  |     79 ms
   239  |  é                                |   145.642   |   145.662  |     20 ms
   241  |  de                               |   146.162   |   146.242  |     79 ms
   244  |  o                                |   147.723   |   147.763  |     39 ms
   246  |  e                                |   148.324   |   148.344  |     19 ms
   249  |  é                                |   148.944   |   148.964  |     20 ms
   251  |  o                                |   149.184   |   149.204  |     20 ms
   253  |  e                                |   149.844   |   149.884  |     39 ms
   256  |  o                                |   151.611   |   151.631  |     20 ms
   258  |  é                                |   152.992   |   153.012  |     20 ms
   263  |  e                                |   156.174   |   156.214  |     39 ms
   271  |  o                                |   158.916   |   158.956  |     39 ms
   280  |  e                                |   163.239   |   163.259  |     19 ms
   281  |  eu                               |   163.979   |   165.380  |   1400 ms
   283  |  a                                |   166.221   |   166.261  |     39 ms
   284  |  eleitura,                        |   166.321   |   166.941  |    620 ms
   285  |  né?,                             |   167.021   |   167.181  |    160 ms
   287  |  mas                              |   168.222   |   168.442  |    219 ms
   291  |  e                                |   171.564   |   171.584  |     20 ms
   292  |  é                                |   172.064   |   172.144  |     80 ms
   293  |  isso.                            |   172.204   |   172.925  |    721 ms
   299  |  ou                               |   176.267   |   176.327  |     60 ms
   302  |  a                                |   176.847   |   176.867  |     19 ms
   309  |  play,                            |   181.507   |   181.687  |    180 ms
   310  |  play                             |   181.887   |   182.067  |    180 ms
   312  |  e                                |   184.089   |   184.249  |    159 ms
   315  |  e                                |   185.089   |   185.149  |     60 ms
   316  |  a                                |   185.189   |   185.229  |     40 ms
   319  |  um                               |   186.010   |   186.070  |     60 ms
   321  |  a                                |   186.290   |   186.330  |     40 ms
   326  |  de                               |   191.833   |   191.893  |     60 ms
   329  |  o,                               |   192.934   |   192.994  |     60 ms
   330  |  é                                |   193.134   |   193.514  |    380 ms
   331  |  o,                               |   193.534   |   193.554  |     20 ms
   332  |  é                                |   194.394   |   194.434  |     39 ms
   333  |  o                                |   194.454   |   194.495  |     40 ms
   356  |  e                                |   214.337   |   214.357  |     20 ms
   362  |  eu                               |   216.819   |   216.859  |     40 ms
   372  |  e                                |   224.666   |   224.686  |     20 ms
   374  |  e                                |   225.086   |   225.126  |     39 ms
   377  |  É                                |   228.939   |   228.999  |     60 ms
   386  |  a                                |   233.821   |   233.841  |     20 ms
   390  |  aquelas                          |   236.562   |   237.022  |    459 ms
   391  |  coisas                           |   237.082   |   237.382  |    300 ms
   392  |  que                              |   237.422   |   237.542  |    120 ms
   393  |  sempre                           |   237.642   |   237.902  |    259 ms
   394  |  se                               |   237.942   |   238.002  |     60 ms
   395  |  pede,                            |   238.102   |   238.442  |    340 ms
   398  |  compartilhar,                    |   241.143   |   242.203  |   1060 ms
   399  |  compartilhar                     |   242.884   |   243.644  |    760 ms
   400  |  aqui                             |   243.724   |   243.904  |    180 ms
   401  |  tem.                             |   243.964   |   244.144  |    180 ms
   408  |  anotem                           |   248.385   |   248.866  |    481 ms
   409  |  aqui,                            |   248.886   |   249.166  |    280 ms
   410  |  ó,                               |   249.226   |   249.346  |    120 ms
   415  |  ó,                               |   251.867   |   251.967  |    100 ms
   418  |  que                              |   253.927   |   254.027  |     99 ms
   419  |  se                               |   254.047   |   254.087  |     39 ms
   422  |  o                                |   255.088   |   255.148  |     60 ms
   432  |  é                                |   261.007   |   261.027  |     19 ms
   434  |  você                             |   261.207   |   261.428  |    221 ms
   441  |  do,                              |   264.850   |   264.890  |     39 ms
   442  |  do,                              |   265.290   |   265.451  |    161 ms
   445  |  É                                |   268.053   |   268.113  |     60 ms
   446  |  isso,                            |   268.153   |   268.413  |    259 ms
   447  |  um                               |   268.473   |   268.533  |     60 ms
   449  |  e                                |   268.933   |   268.953  |     19 ms
   451  |  a                                |   269.173   |   269.193  |     19 ms
-------------------------------------------------------------------------------------

Tempo total removido: 21605 ms (21.61 segundos)
